,Name_of_car,Price_Rs
1,2017 Jeep Compass,1216000
2,2013 Volkswagen Vento,394000
3,2011 Toyota Etios,281000
4,2011 Hyundai i20,264000
5,2013 Maruti Wagon R 1.0,331000
6,2013 Maruti WAGON R 1.0,314000
7,2020 Maruti SWIFT,647000
8,2015 Volkswagen Polo,466000
9,2016 Maruti ERTIGA,783000
10,2013 MAHINDRA XUV500,524000
11,2015 Ford Ecosport,508000
12,2014 Maruti Swift,375000
13,2021 Renault Kiger,808000
14,2020 Renault KWID,468000
15,2015 Maruti Swift,429000
16,2012 Volkswagen Polo,315000
17,2017 Mahindra TUV300,678000
18,2015 Maruti SWIFT DZIRE,498000
19,2014 Ford Ecosport,560000
20,2017 Maruti Celerio,421000
21,2015 Mahindra Thar,560000
22,2022 TATA TIGOR,760699
23,2019 Maruti DZIRE,609000
24,2015 AUDI A6,1760000
25,2020 TOYOTA YARIS,729000
26,2017 Maruti ALTO K10,323000
27,2019 DATSUN REDI GO,308000
28,2020 Maruti New Wagon-R,526000
29,2018 Maruti Alto 800,309000
30,2017 Maruti CIAZ,596000
31,2016 Volkswagen Ameo,471000
32,2021 Mahindra BOLERO NEO,959000
33,2019 Hyundai GRAND I10 NIOS,610000
34,2021 Maruti ALTO,373000
35,2017 Honda WR-V,587000
36,2019 Maruti SWIFT,656350
37,2021 Hyundai NEW SANTRO,460000
38,2021 TATA ALTROZ,682000
39,2018 Hyundai Elite i20,644000
40,2018 MAHINDRA XUV500,1103000
41,2013 HYUNDAI I20,415000
42,2016 Renault Kwid,283000
43,2018 Maruti Ertiga,1033000
44,2011 Hyundai i10,287000
45,2016 Hyundai Creta,886000
46,2014 Tata Zest,417000
47,2014 Hyundai i20,417000
48,2014 Maruti Alto 800,338000
49,2013 Hyundai Eon,224000
50,2018 Maruti Swift,644000
51,2016 Datsun Redi Go,212000
52,2012 Maruti Swift,449000
53,2013 HONDA BRIO,319000
54,2012 Maruti Alto K10,193000
55,2021 MAHINDRA THAR,1439000
56,2017 Maruti Swift,616000
57,2015 Hyundai Elite i20,506000
58,2020 Maruti S Cross,1162000
59,2018 Skoda Rapid,668000
60,2014 Maruti ALTO 800,321000
61,2017 HYUNDAI TUCSON NEW,1281000
62,2016 Maruti Swift,497000
63,2010 Maruti Zen Estilo,163000
64,2020 Renault TRIBER,603000
65,2019 Maruti Ciaz,884000
66,2018 Maruti Alto K10,374000
67,2018 Hyundai Grand i10,525350
68,2017 Maruti IGNIS,542000
69,2014 Hyundai Grand i10,452000
70,2017 Maruti Swift,547000
71,2018 Maruti Eeco,393000
72,2018 Maruti Celerio,445000
73,2016 HYUNDAI ELITE I20,526200
74,2013 HYUNDAI I20,391000
75,2018 Maruti DZIRE,692000
76,2017 Hyundai Elite i20,655000
77,2017 HYUNDAI ELITE I20,548000
78,2015 Skoda Rapid,490000
79,2019 Ford Endeavour,2230000
80,2021 Hyundai NEW I20,794000
81,2018 Renault Kwid,431000
82,2019 Maruti Celerio,523000
83,2018 Maruti SWIFT,638350
84,2018 TATA TIAGO,590000
85,2020 Hyundai Verna,1025000
86,2017 Hyundai Eon,319000
87,2017 Hyundai Elite i20,607000
88,2017 Maruti Alto K10,352000
89,2018 Maruti Ertiga,1001000
90,2010 Maruti Alto,172000
91,2016 Hyundai Elite i20,526000
92,2015 Honda City,644000
93,2019 Maruti Dzire,722000
94,2021 Toyota URBAN CRUISER,1166000
95,2019 Maruti Swift,692000
96,2014 Honda Amaze,392000
97,2019 Maruti Alto,385000
98,2015 Hyundai Eon,309000
99,2021 Toyota URBAN CRUISER,1016000
100,2020 Maruti DZIRE,713000
101,2016 Hyundai Creta,797000
102,2014 Maruti Swift,421000
103,2020 MG HECTOR,1573000
104,2010 Maruti Alto,153000
105,2016 Maruti Baleno,499000
106,2019 Maruti New Wagon-R,491000
107,2015 Hyundai Elite i20,464000
108,2020 Honda City,1147000
109,2018 Maruti Dzire,547000
110,2019 FORD ECOSPORT,801000
111,2022 SKODA KUSHAQ,1156000
112,2020 Tata Tiago,504000
113,2018 Volkswagen Polo,692000
114,2015 VOLKSWAGEN POLO,495000
115,2017 Maruti WAGON R 1.0,332000
116,2017 HYUNDAI GRAND I10,579000
117,2013 HYUNDAI I10,270000
118,2018 Maruti VITARA BREZZA,840000
119,2015 Maruti Swift,362000
120,2018 HYUNDAI CRETA,977000
